,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
10226,XR_003306400.1,0.842764404,0.939245831,-0.136558454,0.688441863,16.46083183,1.297682783,0.000178768,1.42167783,0.03350321,1.42167783
10227,XR_003306451.1,0.842764404,0.939245831,-0.136558454,0.688441863,16.46083183,1.297682783,0.000178768,1.42167783,0.03350321,1.42167783
10228,XR_001704407.2,0.842749753,0.939245831,0.044876,0.226215217,6.564415835,0.140112846,0.023383868,0.130136106,0.080487706,0.130136106
10229,XM_006566321.3,0.842910986,0.939245831,-0.011892572,0.060011557,12.40926743,0.004348552,0.00037333,0.004367648,0.010430831,0.010430831
10230,XM_396426.7,0.842860077,0.939245831,0.013585664,0.068532629,10.93564238,0.00559335,0.001068965,0.00502835,0.013021199,0.013021199
10231,XM_001120353.5,0.842722941,0.939245831,0.01613399,0.081315707,10.28315506,0.006967597,0.001654177,0.005932088,0.018182556,0.018182556
10232,XM_016916984.2,0.842940386,0.939245831,0.017291172,0.087270183,10.92160714,0.020852682,0.001176902,0.021671352,0.013104864,0.021671352
10233,XM_394443.7,0.843246808,0.939495442,-0.046020563,0.232730162,6.856319027,0.148295775,0.02083834,0.141651645,0.075262558,0.141651645
10234,XM_006569633.3,0.843377927,0.939549711,0.03165627,0.160224408,11.28131224,0.070287471,0.000796621,0.076218961,0.011491616,0.076218961
10235,XM_026445235.1,0.843966885,0.940113967,-0.053681784,0.272742891,9.973217584,0.203664158,0.002002448,0.221163606,0.022240569,0.221163606
10236,XM_003251690.4,0.844133028,0.940207176,-0.016444217,0.083638919,11.03629925,0.0191523,0.001026891,0.019959515,0.012467694,0.019959515
10237,XM_001120059.5,0.844354517,0.940362005,0.015804086,0.080498942,10.32862085,0.006726747,0.001751814,0.005572677,0.017688425,0.017688425
10238,XM_397351.7,0.84451057,0.940443935,-0.032640131,0.166423237,11.47628107,0.075826995,0.000734007,0.082356074,0.010968329,0.082356074
10239,XM_006563143.2,0.844835874,0.940714308,-0.013133022,0.067103939,11.03172644,0.010785193,0.001017845,0.010794125,0.012490971,0.012490971
10240,XM_392800.7,0.84509638,0.940912483,0.017752069,0.090859731,11.70150414,0.022600921,0.000645777,0.024120695,0.010560107,0.024120695
10241,XR_408124.3,0.845280644,0.940933863,0.074826716,0.383444659,3.297052298,0.079864089,0.219191382,-0.133020596,0.221898037,0.221898037
10242,XM_003250298.4,0.845249664,0.940933863,0.016187953,0.082937296,15.21158293,0.003912999,5.38569E-05,0.004171827,0.020581928,0.020581928
10243,XM_624494.5,0.845896255,0.941251532,0.012754463,0.065623849,13.57444989,0.005252345,0.000175456,0.005553321,0.012744013,0.012744013
10244,XM_026446503.1,0.845872825,0.941251532,0.02277451,0.117160631,9.016172968,0.021089322,0.004102429,0.018940221,0.037077411,0.037077411
10245,XR_003304567.1,0.845884763,0.941251532,0.045637622,0.234795483,5.34166349,0.097553439,0.052200117,0.054483828,0.113186639,0.113186639
10246,XR_001703801.2,0.845697484,0.941251532,-0.035232236,0.181039274,6.692422459,0.019922368,0.020197606,0.001344606,0.07812805,0.07812805
10247,XM_625108.5,0.846117837,0.94132135,0.031811039,0.163911795,7.294133276,0.024206802,0.012512876,0.013811024,0.068088354,0.068088354
10248,XR_411901.3,0.846124129,0.94132135,-0.045320026,0.233528817,6.228195044,0.149293906,0.031430013,0.132177112,0.08742183,0.132177112
10249,XM_001120666.5,0.846270343,0.941386089,0.016102608,0.083054783,10.22853544,0.016238535,0.001879281,0.015905319,0.01881501,0.01881501
10250,XR_408481.3,0.846347462,0.941386089,0.053491016,0.276038674,7.63962256,0.208591305,0.011853112,0.216738938,0.062499294,0.216738938
10251,XM_006566991.3,0.84663769,0.941525196,0.012539835,0.064835423,11.20794132,0.000953068,0.000874816,0.000126385,0.01173608,0.01173608
10252,XM_623437.6,0.846577148,0.941525196,0.011633699,0.060126342,12.4753651,0.003366135,0.000346261,0.003315885,0.01049927,0.01049927
10253,XM_006558610.3,0.846848309,0.941575733,0.011561679,0.059861245,12.26570165,0.006133384,0.000426593,0.006280028,0.010323513,0.010323513
10254,XM_001120557.5,0.846801959,0.941575733,0.011944505,0.061824403,11.57046629,0.005268007,0.000692547,0.005059459,0.010774223,0.010774223
10255,XM_395849.7,0.847003981,0.941656985,-0.036253328,0.187897033,10.51850689,0.096645614,0.001461868,0.104454017,0.015971442,0.104454017
10256,XM_001120159.5,0.847523697,0.942142909,-0.014357924,0.07467236,11.91410284,0.01526339,0.000517437,0.016210447,0.010336866,0.016210447
10257,XM_396795.6,0.847827879,0.942389012,0.029841929,0.1555153,9.287945661,0.066201989,0.003326115,0.069228911,0.032455983,0.069228911
10258,XM_395903.7,0.847910402,0.942389012,0.012035991,0.062757636,11.41492234,0.005830733,0.000701071,0.005669276,0.011114492,0.011114492
10259,XM_392237.7,0.848261312,0.942595246,-0.013429666,0.070188424,10.83954414,0.003635055,0.001156756,0.002787698,0.013622489,0.013622489
10260,XM_026442770.1,0.84823112,0.942595246,0.011975396,0.062575266,11.46039722,0.008167494,0.000742368,0.008198852,0.011004624,0.011004624
10261,NM_001172406.1,0.848403784,0.942605454,-0.012799765,0.066959972,11.04479676,0.005715677,0.001025979,0.005212115,0.012424934,0.012424934
10262,XM_394836.7,0.848518531,0.942605454,-0.011610095,0.060782968,12.69271012,0.002988728,0.000284475,0.002962687,0.010799232,0.010799232
10263,XR_409431.3,0.848505795,0.942605454,0.061079179,0.319743976,4.555198976,0.279843482,0.095397444,0.211311187,0.145303517,0.211311187
10264,XM_395151.7,0.848826961,0.942856214,0.01311856,0.068822159,10.92635305,0.005319543,0.001133063,0.004666806,0.013076406,0.013076406
10265,XM_001122896.5,0.849499347,0.9428855,-0.01716834,0.090475272,9.965203229,0.010012904,0.002199479,0.00872629,0.022357846,0.022357846
10266,XM_624765.5,0.849186618,0.9428855,0.011785824,0.06197965,12.95576904,0.006537532,0.000261537,0.006888077,0.011262894,0.011262894
10267,XR_003305467.1,0.849300163,0.9428855,-0.04458724,0.23465555,5.334212467,0.044897558,0.051742627,-0.00295172,0.113447055,0.113447055
10268,XM_006572209.3,0.84931755,0.9428855,0.011663557,0.061390616,11.66823928,0.003741981,0.000697782,0.003377585,0.010608641,0.010608641
10269,XR_001704848.2,0.849514943,0.9428855,0.032873811,0.173259557,7.010177076,0.062616961,0.017369568,0.051184882,0.072687054,0.072687054
10270,XM_016915872.2,0.84934963,0.9428855,0.091699746,0.482761561,3.982348165,0.637908024,0.160540296,0.538635877,0.175668229,0.538635877
10271,XR_003304572.1,0.849075113,0.9428855,0.045670407,0.239993331,5.328027795,0.123874969,0.059126608,0.076510123,0.113663789,0.113663789
10272,XM_003249860.4,0.849085239,0.9428855,-0.01274235,0.066964296,11.06036247,0.012273965,0.001044631,0.01240802,0.0123483,0.01240802
10273,XM_001121075.5,0.849602198,0.942890553,0.039039792,0.205877825,7.246930497,0.116012971,0.013417618,0.113739419,0.068846172,0.113739419
10274,XR_410846.3,0.849762321,0.942976467,0.043953316,0.232039504,5.409338345,0.124449504,0.050671134,0.085643753,0.11085586,0.11085586
10275,XM_026439220.1,0.850095972,0.943182599,-0.011389381,0.060262561,12.54356697,0.003308446,0.000313146,0.003287229,0.010581582,0.010581582
10276,XR_001702238.2,0.850196261,0.943182599,0.104168244,0.551539883,3.426990909,0.832585485,0.286611634,0.625977093,0.212184675,0.625977093
10277,XM_026439535.1,0.850173085,0.943182599,0.030758688,0.162832614,7.385943626,0.043828167,0.012928671,0.034998483,0.066614709,0.066614709
